county,state,population,# total covid cases,# covid cases per 100k,# covid deaths,# covid deaths per 100k,case_fatality_rate
King County,Texas,272,1,367.6,0,0.0,0.0
Calhoun County,West Virginia,7109,37,520.5,0,0.0,0.0
Braxton County,West Virginia,13958,84,601.8,0,0.0,0.0
Wahkiakum County,Washington,4488,11,245.1,0,0.0,0.0
Orleans County,Vermont,27042,50,184.9,0,0.0,0.0
Essex County,Vermont,6163,15,243.4,0,0.0,0.0
Caledonia County,Vermont,29988,49,163.4,0,0.0,0.0
Wayne County,Utah,2711,26,959.1,0,0.0,0.0
Bath County,Virginia,4147,31,747.5,0,0.0,0.0
Craig County,Virginia,5131,65,1266.8,0,0.0,0.0
Aleutians East Borough,Alaska,3337,9,269.7,0,0.0,0.0
Aleutians West Census Area,Alaska,5634,10,177.5,0,0.0,0.0
Giles County,Virginia,16721,160,956.9,0,0.0,0.0
Bristol Bay Borough,Alaska,0,0,0.0,0,0.0,0.0
Denali Borough,Alaska,2097,29,1382.9,0,0.0,0.0
Dillingham Census Area,Alaska,4916,40,813.7,0,0.0,0.0
Highland County,Virginia,2190,12,547.9,0,0.0,0.0
Mathews County,Virginia,8834,141,1596.1,0,0.0,0.0
Haines Borough,Alaska,2530,9,355.7,0,0.0,0.0
Hoonah-Angoon Census Area,Alaska,2148,31,1443.2,0,0.0,0.0
Rich County,Utah,2483,24,966.6,0,0.0,0.0
"Sitka, City and Borough of",Alaska,8493,77,906.6,0,0.0,0.0
San Juan County,Washington,17578,36,204.8,0,0.0,0.0
Jefferson County,Washington,32224,91,282.4,0,0.0,0.0
Morgan County,Utah,12124,261,2152.8,0,0.0,0.0
Garfield County,Washington,2225,38,1707.9,0,0.0,0.0
Northwest Arctic Borough,Alaska,7621,268,3516.6,0,0.0,0.0
Stanley County,South Dakota,3098,117,3776.6,0,0.0,0.0
North Slope Borough,Alaska,9832,286,2908.9,0,0.0,0.0
Lake and Peninsula Borough,Alaska,1592,49,3077.9,0,0.0,0.0
"Norton, City of",Virginia,3981,59,1482.0,0,0.0,0.0
Kusilvak Census Area,Alaska,8314,296,3560.3,0,0.0,0.0
"Covington, City of",Virginia,5538,62,1119.5,0,0.0,0.0
Kodiak Island Borough,Alaska,12999,87,669.3,0,0.0,0.0
Ketchikan Gateway Borough,Alaska,13900,84,604.3,0,0.0,0.0
Nome Census Area,Alaska,10004,144,1439.4,0,0.0,0.0
Webster County,West Virginia,8113,39,480.7,0,0.0,0.0
Orange County,Vermont,28898,43,148.8,0,0.0,0.0
Potter County,South Dakota,2153,160,7431.5,0,0.0,0.0
Harmon County,Oklahoma,2653,79,2977.8,0,0.0,0.0
Ellis County,Oklahoma,3859,37,958.8,0,0.0,0.0
Clatsop County,Oregon,40226,278,691.1,0,0.0,0.0
Pepin County,Wisconsin,7287,228,3128.9,0,0.0,0.0
Coal County,Oklahoma,5495,136,2475.0,0,0.0,0.0
Gilliam County,Oregon,1912,17,889.1,0,0.0,0.0
Grant County,Oregon,7199,32,444.5,0,0.0,0.0
Harney County,Oregon,7393,45,608.7,0,0.0,0.0
Wirt County,West Virginia,5821,59,1013.6,0,0.0,0.0
Cimarron County,Oklahoma,2137,44,2059.0,0,0.0,0.0
Lake County,Oregon,7869,49,622.7,0,0.0,0.0
Sherman County,Oregon,1780,23,1292.1,0,0.0,0.0
Tillamook County,Oregon,27036,82,303.3,0,0.0,0.0
Alfalfa County,Oklahoma,5702,143,2507.9,0,0.0,0.0
Pike County,Ohio,27773,451,1623.9,0,0.0,0.0
Wheeler County,Oregon,1332,1,75.1,0,0.0,0.0
Billings County,North Dakota,928,36,3879.3,0,0.0,0.0
Perkins County,South Dakota,2865,88,3071.6,0,0.0,0.0
Jones County,South Dakota,903,40,4429.7,0,0.0,0.0
Hyde County,South Dakota,1301,65,4996.2,0,0.0,0.0
Harding County,South Dakota,1298,63,4853.6,0,0.0,0.0
Hamlin County,South Dakota,6164,260,4218.0,0,0.0,0.0
Adams County,North Dakota,2216,114,5144.4,0,0.0,0.0
Niobrara County,Wyoming,2356,29,1230.9,0,0.0,0.0
Cameron County,Pennsylvania,4447,14,314.8,0,0.0,0.0
Woods County,Oklahoma,8793,199,2263.2,0,0.0,0.0
Golden Valley County,North Dakota,1761,128,7268.6,0,0.0,0.0
Hot Springs County,Wyoming,4413,60,1359.6,0,0.0,0.0
Slope County,North Dakota,750,16,2133.3,0,0.0,0.0
Russell County,Alabama,57960,2018,3481.7,3,5.18,0.001
Summit County,Utah,42145,1638,3886.6,1,2.37,0.001
Latah County,Idaho,40108,1114,2777.5,1,2.49,0.001
"Radford, City of",Virginia,18249,995,5452.4,1,5.48,0.001
Lafayette County,Wisconsin,16665,670,4020.4,1,6.0,0.001
Lassen County,California,30573,790,2584.0,1,3.27,0.001
Chisago County,Minnesota,56578,1561,2759.0,2,3.53,0.001
Chattahoochee County,Georgia,10907,1820,16686.5,1,9.17,0.001
Wright County,Iowa,12562,881,7013.2,1,7.96,0.001
Douglas County,Wisconsin,43149,1004,2326.8,1,2.32,0.001
Dunn County,Wisconsin,45368,1545,3405.5,1,2.2,0.001
Idaho County,Idaho,16667,450,2699.9,1,6.0,0.002
