fips,biden,trump,other
17031,0.743,0.241,0.016
17033,0.234,0.747,0.019
17035,0.196,0.789,0.015
17037,0.515,0.458,0.027
17039,0.272,0.703,0.025
17041,0.267,0.713,0.02
17043,0.58,0.399,0.021
17045,0.229,0.757,0.014
17047,0.145,0.842,0.013
17049,0.195,0.788,0.017
17051,0.181,0.802,0.017
17053,0.249,0.729,0.022
17055,0.254,0.733,0.013
17057,0.387,0.595,0.018
17059,0.232,0.755,0.012
17061,0.217,0.766,0.017
17063,0.359,0.622,0.02
17065,0.191,0.796,0.013
17067,0.17,0.811,0.019
17069,0.208,0.782,0.01
17071,0.326,0.656,0.018
17073,0.382,0.597,0.021
17075,0.207,0.776,0.017
17077,0.494,0.481,0.025
17079,0.181,0.806,0.014
17081,0.265,0.717,0.018
17083,0.248,0.73,0.022
17085,0.408,0.574,0.017
17087,0.199,0.786,0.015
17089,0.561,0.417,0.021
17091,0.406,0.573,0.022
17093,0.518,0.461,0.021
17095,0.46,0.522,0.018
17097,0.611,0.37,0.019
17099,0.414,0.567,0.019
17101,0.222,0.761,0.017
17103,0.391,0.588,0.022
17105,0.268,0.712,0.02
17107,0.287,0.689,0.023
17109,0.406,0.572,0.022
17111,0.476,0.503,0.021
17113,0.505,0.466,0.029
17115,0.401,0.58,0.019
17117,0.306,0.673,0.021
17119,0.42,0.556,0.023
17121,0.256,0.73,0.014
17123,0.316,0.663,0.021
17125,0.294,0.688,0.019
17127,0.253,0.734,0.013
17129,0.29,0.69,0.02
17131,0.368,0.61,0.022
17133,0.309,0.67,0.02
17135,0.285,0.695,0.02
17137,0.33,0.651,0.019
17139,0.246,0.737,0.017
17141,0.358,0.62,0.022
17143,0.518,0.457,0.025
17145,0.26,0.727,0.013
17147,0.338,0.637,0.025
17149,0.186,0.797,0.016
17151,0.199,0.792,0.009
17153,0.34,0.648,0.013
17155,0.391,0.591,0.017
17157,0.241,0.744,0.015
17159,0.227,0.755,0.018
17161,0.549,0.429,0.022
17163,0.533,0.447,0.02
17165,0.252,0.732,0.016
17167,0.467,0.511,0.022
17169,0.273,0.71,0.017
17171,0.209,0.772,0.019
17173,0.206,0.78,0.014
17175,0.283,0.695,0.022
17177,0.408,0.571,0.02
17179,0.358,0.617,0.024
17181,0.29,0.693,0.016
17183,0.327,0.656,0.017
17185,0.224,0.758,0.018
17187,0.391,0.591,0.018
17189,0.208,0.774,0.019
17191,0.14,0.846,0.014
17193,0.204,0.78,0.015
