"fips","dem_amount","rep_amount"
27015,35481.587726484,13345.3400759838
27017,50894.115216599,19142.3022179149
27019,149101.27049698,56079.9921323202
27021,42250.7278033816,15891.350052892
27023,16741.9519822661,6296.9854805106
27025,80274.8221359861,30192.9780933737
27027,91118.7830682285,34271.6102990976
27029,12511.0620830189,4705.66253958835
27031,7750.95624399321,2915.29082034148
27033,15884.9910502925,5974.66520676243
27035,92300.6513734173,34716.1347825947
27037,608699.066218966,228943.983714758
27039,29701.3578641322,11171.2791566957
27041,54114.8127589502,20353.6714586572
27043,19371.0059672779,7285.8256580857
27045,29890.0595263052,11242.2536540607
27047,42962.970167373,16159.2387572323
27049,65747.6317676452,24729.0090819374
27051,8473.13027441469,3186.91502454316
27053,1795990.06127862,675508.0501361
27055,26389.8565144195,9925.75677436417
27057,30491.6347500747,11468.5182170893
27059,57597.9900569556,21663.7646243058
27061,64030.8722847179,24083.3012487664
27063,13969.5982387621,5254.24737636503
27065,23179.0906384985,8718.12303348319
27067,61291.1511594843,23052.8369298794
27069,6098.04318811694,2293.59691485039
27071,17350.6212534858,6525.91825772577
27073,9396.77525241938,3534.31651164591
27075,15097.55178333,5678.4934320435
27077,5306.34749268435,1995.82421161946
27079,40985.1497382815,15415.3406419924
27081,8000.66671423718,3009.2119597118
27083,36142.7529488345,13594.0176381803
27085,50925.3290253795,19154.0423603362
27087,7841.76005135466,2949.44396193069
27089,13246.0053988506,4982.08952932601
27091,27926.4271921139,10503.6919671941
27093,32947.5939773038,12392.2539685099
27095,37282.0569693227,14022.5328365574
27097,47368.373633893,17816.1997671464
27099,56840.3457892836,21378.7993491708
27101,11625.7249612448,4372.66940909355
27103,48628.276461033,18290.0746066966
27105,30687.4304596978,11542.160928641
27107,9044.91049889378,3401.97308798772
27109,224587.61060414,84471.9256497004
27111,83349.382300865,31349.3821218708
27113,20032.1711896284,7534.50322028213
27115,41966.9659053771,15784.6214854257
27117,12948.0554059458,4870.02453348642
27119,44499.5408450674,16737.1739500622
27121,15960.1879532637,6002.948277141
27123,780800.657358702,293674.859883057
27125,5753.27248204146,2163.92170537885
27127,21523.3399636421,8095.36184231744
27129,20640.8404608481,7763.43599749731
27131,95020.5091657905,35739.128101759
27133,13216.2103995601,4970.88302974205
27135,21516.245916192,8092.69362813079
27137,282442.40517879,106232.279627563
27139,211421.058536731,79519.7201192649
27141,137962.197190813,51890.3622164313
27143,21090.6030691853,7932.60077693136
27145,228534.738605383,85956.5200231564
27147,51997.9489998366,19557.4763453587
27149,13911.4270496711,5232.36802003444
27151,13146.688734549,4944.73453071282
27153,34993.5172619163,13161.7669399418
27155,4623.9001279835,1739.14200686306
27157,30684.5928407178,11541.0936429663
27159,19412.1514424886,7301.30130036831
27161,26406.8822282998,9932.16048841214
27163,372352.362561519,140049.226229254
27165,15460.7670127758,5815.10599840034
27167,8806.55050457,3312.32109131604
27169,71627.1782942986,26940.4249998387
27171,196330.600800851,73843.8949014081
27173,13775.221338629,5181.13830765063
39001,18786.3044428638,16242.3983800009
39003,69420.068092698,60019.7023825357
39005,36275.785501557,31363.5798597722
39007,65954.1855126188,57023.1446627796
39009,44308.3583774627,38308.4395613517
39011,30966.4060814278,26773.1583665724
39013,45447.1483680602,39293.0228121287
39015,29457.9671659492,25468.9813863889
39017,259862.515936608,224673.805362238
39019,18254.5525949612,15782.6525380657
39021,26373.9420990959,22802.5727852674
39023,90942.4528345911,78627.6807706572
39025,140010.804156671,121051.549309944
39027,28465.0019805801,24610.4763958365
39029,69102.6447957358,59745.262262605
39031,24824.1296342268,21462.6247638109
39033,28143.5091541696,24332.5178128297
39035,837693.645781524,724259.204707361
39037,34667.6431145966,29973.2005342258
39039,25832.6946824808,22334.6171961548
39041,141875.326898871,122663.591809281
39043,50371.2790004232,43550.3631341306
39045,106875.338879335,92403.0501238452
39047,19347.221251812,16727.359873981
39049,893096.21968978,772159.561024496
39051,28572.1662560502,24703.1292568387
39053,20278.4652405495,17532.5015078803
39055,63517.8938829428,54916.7581012602
39057,114582.349399382,99066.432779342
39059,26367.1595500155,22796.7086801406
39061,554455.074439352,479374.761025868
39063,51400.1916959183,44439.9478818546
39065,21273.4651906427,18392.7657299707
39067,10200.9538169063,8819.61411059332
39069,18316.9520465008,15836.6023052316
39071,29274.1600858706,25310.0641374547
39073,19170.1967208138,16574.3067301735
39075,29816.0857573937,25778.6061370799
39077,39519.2004717994,34167.7949313717
39079,21984.2763342676,19007.3239472514
39081,44307.0018676466,38307.2667403264
39083,42270.2023788056,36546.2759707711
39085,156099.688830264,134961.793081047
